,t,Vin(t),"Vout(t,RC1)","Vout(t,RC2)","Vout(t,RC3)"
68,6.800000000000001,1.0,0.3435431169306299,0.9993291065801282,0.999999772627488
69,6.9,1.0,0.40601325129833354,0.9997531935241868,0.999999970570878
70,7.0,-1.0,0.462538556207093,0.9999091974039878,0.9999999956685038
71,7.1000000000000005,-1.0,0.3233596006494309,-0.26427451607983826,-0.7293294097907775
72,7.2,-1.0,0.19742528423972172,-0.7293417357991101,-0.9633687125347132
73,7.300000000000001,-1.0,0.08347521873292767,-0.9004303838785473,-0.9950424931898255
74,7.4,-1.0,-0.01963107583494439,-0.9633703820859604,-0.9993290760872003
75,7.5,-1.0,-0.11292551132072595,-0.9865247150632507,-0.999909198667107
76,7.6000000000000005,-1.0,-0.19734180676187804,-0.9950427183599336,-0.9999877116579963
77,7.7,-1.0,-0.27372482959385946,-0.9981763207300643,-0.999998338306243
78,7.800000000000001,-1.0,-0.34283902943810274,-0.9993291072322429,-0.9999997728129923
79,7.9,-1.0,-0.4053761868191217,-0.9997531927544004,-0.999999970554725
80,8.0,1.0,-0.4619621064100901,-0.9999091908764184,-0.9999999858704365
81,8.1,1.0,-0.32283801050131344,0.2642745086600566,0.729329445557153
82,8.200000000000001,1.0,-0.19695334029236736,0.7293417340854662,0.9633687214979906
83,8.3,1.0,-0.08304817754443272,0.9004303839219462,0.9950424943471342
84,8.4,1.0,0.020017477491348926,0.9633703819380509,0.9993290766446883
85,8.5,1.0,0.11327513864712252,0.9865247149966531,0.9999092007661852
86,8.6,1.0,0.19765815621177113,0.9950427184074752,0.9999877124448932
87,8.700000000000001,1.0,0.2740110893485823,0.9981763204042127,0.9999983336046087
88,8.8,1.0,0.3430980755765579,0.9993291069978351,0.9999997787030631
89,8.9,1.0,0.40561056023609876,0.9997531926705578,0.9999999673023177
90,9.0,-1.0,0.4621741326194595,0.9999091653742977,0.9999999944688593
91,9.1,-1.0,0.3230298758653457,-0.26427452322894146,-0.7293294311559101
92,9.200000000000001,-1.0,0.19712693715993057,-0.7293417384211016,-0.9633687151855298
93,9.3,-1.0,0.08320525170162704,-0.900430384847938,-0.9950424935558602
94,9.4,-1.0,-0.0198753601361559,-0.9633703824577394,-0.9993290760650094
95,9.5,-1.0,-0.11314655654957297,-0.9865247151996395,-0.9999091984389731
96,9.600000000000001,-1.0,-0.19754182102492943,-0.9950427184055732,-0.9999877115069261
97,9.700000000000001,-1.0,-0.273905814445094,-0.9981763207495155,-0.9999983388043224
98,9.8,-1.0,-0.34300281286303314,-0.9993291072431917,-0.9999997726020053
99,9.9,-1.0,-0.40552436222723687,-0.9997531927577473,-0.9999999705732757
